CREDIT_LIMIT_ID	BUYER_NUMBER	BUYER_NAME	POLICY_NUMBER	LEGACY_POLICY	COMMITMENT_CATEGORY_NUMBER	COMMITMENT_CATEGORY	COMMITMENT_TYPE	CONDITION_CODE	CLD_EXPIRY_DATE	REFRESH_DATE
118451390	14128612	PLODINE DIONICKO DRUSTVO ZA	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
118451395	15519279	DRUSTVO ZA TRGOVINU,	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
118451399	16500497	MEPAS D.O.O. ZA UNUTARNJU I	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	30/09/2023	01/07/2023
118451403	38260969	DRUSTVO ZA PROIZVODNJU I TRGOVINU	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/10/2023	01/07/2023
118451412	4279732	FIPAR	1046672	03079C1 72 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118451570	2523165	OXFORD INDUSTRIES, INC.	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118451575	3716523	VITOL HOLDING B.V.	1046672	03079C1 72 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118559359	18448780	PT. GRAFITECINDO CIPTAPRIMA	1047113	36031C1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
118559393	21474106	MAURITIUS SUGAR SYNDICATE	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
118559407	2337016	OMV AKTIENGESELLSCHAFT	1046672	03079C1 72 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118559434	23875131	PT. PRINTEC PERKASA	1047113	36031C1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
118670648	7214871	STE DE TRAVAUX AGRICOLES MAROCAINS	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
118451468	7228594	CLARO S/A	1166344	04551B1 01 SA	14	Inward Re	SBON	T502	31/12/2024	01/07/2023
118749804	21585060	CESTOVNA KANCELARIA FIFO S R.O.	1046955	09780B1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118751136	7114479	CECONOMY AG	1058224	08296C1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
118754072	13927283	UNIBEP S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754099	13927283	UNIBEP S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754086	9116962	TADIRAN ENERGY SOLUTIONS LTD	1046592	02126C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754106	14269377	DROG BUD SP Z O O	1046744	04566B1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
118754127	24154002	STE SOSMAJED	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754138	4348004	GDANSKA STOCZNIA REMONTOWA IM J	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754152	4348004	GDANSKA STOCZNIA REMONTOWA IM J	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754159	9007418	CRIST S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118754166	9007418	CRIST S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118977462	21865658	CONSORCIO DE SALUD SANTIAGO	1046571	01946B3 06	14	Inward Re	FBON	T502	28/12/2023	01/07/2023
119036388	15868466	EMPRESA CONSTRUCTORA MINERA PYA.	1127185	03115B3 17	14	Inward Re	FBON	T502	31/12/2023	01/07/2023
118866191	11506905	LG CHEM LTD	1046749	05401C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118866227	19241638	UNIMOT S A	1082845	36180C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118866709	19241638	UNIMOT S A	1046731	04252C1 71 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118866724	19835853	STEEL-TRANSZ KERESKEDELMI ES	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118866759	4109026	ELECTRICITE DE FRANCE	1046749	05401C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
118866777	4777779	SHIN-ETSU CHEMICAL CO LTD	1046749	05401C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119097306	15192802	ACTION NEDERLAND B.V.	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
119238664	11238089	CARREFOUR IMPORT	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119238699	16484203	CITRUS SOLUTIONS SIA	1046504	00794B1 01 SA	14	Inward Re	SBON	T502	21/08/2024	01/07/2023
119238714	19241638	UNIMOT S A	1046744	04566B1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119238859	10169054	ARCHIRODON GROUP N.V.	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119238874	12675291	CMI TECH 5 I - PASTOR SAS	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119238889	16985186	PROIZVODNO I TRGOVINSKO PREDUZECE	1046896	08992C1 04 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
119238907	20338494	OBRAS Y SISTEMAS S.R.L.	1047210	36090B1 01 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119238965	23873779	INMOBILIARIA DAMORA - CRANE, S.A.	1046680	36172B1 01	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119239224	4757323	DIESEL-S.P.A.	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119326348	24112506	BMGS-FIMA PS	1046504	00794B1 01 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119241256	10456295	SACDE SOCIEDAD ARGENTINA DE	1047210	36090B1 01 SA	14	Inward Re	SBON	T502	31/10/2023	01/07/2023
119241281	16018501	PRZEDSIEBIORSTWO USLUG	1046669	03079B1 73 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119241297	16207516	PRZEDSIEBIORSTWO BUDOWY DRÓG I	1046744	04566B1 01 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119241313	17675529	OCID METAL SARL	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119241352	21612830	DRUSHTVO ZA PROMET I USLUGI	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119241361	23171845	STE GUARIMETAL - SARL	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119241373	23661391	STE FASSIE DE BOIS ET MENUISERIE -	1046660	02901C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119241492	23912627	ORCOM SA	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	31/01/2024	01/07/2023
119241653	15477437	MIRBUD S A	1046744	04566B1 01 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119351830	10645977	BUNKER HOLDING A/S	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/01/2024	01/07/2023
119351978	19592398	COCKETT MARINE OIL - DMCC	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/08/2023	01/07/2023
119352024	24189473	AREA1 MEXICO MV34 B.V.	1218844	08890C1 05 SA	14	Inward Re	SCRE	T502	01/03/2028	01/07/2023
119352082	584187	MAURITIUS TELECOM LTD	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/01/2024	01/07/2023
119492639	766996	ABENGOA SA	1047350	35501B3 03	14	Inward Re	FBON	T502	10/03/2024	01/07/2023
119490883	11226106	BYD COMPANY LIMITED	1046749	05401C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119490944	13268303	ZECH GROUP SE	1072506	36180B1 01 SA	14	Inward Re	SBON	T502	31/01/2024	01/07/2023
119490981	14862613	COM-CAVI S.P.A. MULTIMEDIA	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119491309	39412629	ATAIR GMBH	1046715	03583C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119491347	57787556	POPPIES EUROPE LTD	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119669782	13835717	SHUFERSAL LTD	1047537	02126C3 02	14	Inward Re	FCRE	T502	31/12/2023	01/07/2023
119669697	13835717	SHUFERSAL LTD	1046600	02126C3 05	14	Inward Re	FCRE	T502	31/12/2023	01/07/2023
119670608	4868700	COMPAGNIE FINANCIERE ET DE	1212764	03199C3 03	14	Inward Re	FCRE	T502	31/12/2023	01/07/2023
118447683	21426425	POLSKA GRUPA ZBROJENIOWA S A	1046669	03079B1 73 SA	14	Inward Re	SBON	T502	30/10/2023	01/07/2023
119628181	14406439	BOMBARDIER TRANSPORTATION MÉXICO,	1046759	07359B1 04 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119628277	2005503	TELEFONICA BRASIL S/A	1166344	04551B1 01 SA	14	Inward Re	SBON	T502	03/12/2024	01/07/2023
119628299	21432055	PRIVREDNO DRUSTVO ZA SPOLJNU I	1046888	08992C1 01 SA	14	Inward Re	SCRE	T502	31/07/2023	01/07/2023
119628339	22500793	SERITI RESOURCES HOLDINGS (PTY) LTD	1072507	36128B1 01 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119628380	22556672	STIEMO UAB	1062615	36180B1 02 SA	14	Inward Re	SBON	T502	31/12/2023	01/07/2023
119628401	23304110	VDM ADMINISTRADORA DE FRANQUICIAS,	1193901	02585B1 02 SA	14	Inward Re	SBON	T502	31/01/2024	01/07/2023
119628427	9753101	ANGLO AMERICAN PLC	1046749	05401C1 02 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119677932	718959	SOFTBANK GROUP CORP	1252362	09850C3 07	14	Inward Re	FCRE	T502	30/09/2023	01/07/2023
119692132	16454363	RAKUTEN GROUP INC	1252372	09850C3 09	14	Inward Re	FCRE	T502	25/03/2026	01/07/2023
119692667	16454363	RAKUTEN GROUP INC	1252360	09850C3 06	14	Inward Re	FCRE	T502	25/04/2025	01/07/2023
119718288	6589391	ELBIT SYSTEMS LTD	1252784	02126B3 03	14	Inward Re	FCRE	T502	31/12/2023	01/07/2023
119718645	962854	ENDESA SA	1252791	02585B3 10	14	Inward Re	FBON	T502	14/10/2024	01/07/2023
119718790	17732944	HEAT AND CONTROL, S.A. DE C.V.	1252843	01946B3 08	14	Inward Re	FCRE	T502	02/12/2023	01/07/2023
119720192	10382014	SOMAGS LTEE	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	30/11/2023	01/07/2023
119720445	13669400	TOA CORP	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119720488	13936327	FINARVEDI S.P.A.	1046860	08296C1 01	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119721505	17913393	SEVEN SEVEN CO LTD	1047053	35507C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
119721510	21997686	ACCROL GROUP HOLDINGS PLC	1046578	02065C1 01 SA	14	Inward Re	SCRE	T502	31/12/2023	01/07/2023
